invoice_id,Branch,City,category,unit_price,quantity,date,time,payment_method,rating,profit_margin,year,month,day
17,WALM029,"Round Rock","Health and beauty",68.93,7,2019-03-11,11:03:00,"Credit card",4.6,0.48,2019,3,11
18,WALM061,"Cedar Park","Sports and travel",72.61,6,2019-01-01,10:39:00,"Credit card",6.9,0.33,2019,1,1
19,WALM053,Conroe,"Food and beverages",54.67,3,2019-01-21,18:00:00,"Credit card",8.6,0.57,2019,1,21
20,WALM013,Irving,"Home and lifestyle",40.3,2,2019-03-11,15:30:00,Ewallet,4.4,0.48,2019,3,11
21,WALM044,Pharr,"Electronic accessories",86.04,5,2019-02-25,11:24:00,Ewallet,4.8,0.48,2019,2,25
22,WALM088,Cleburne,"Health and beauty",87.98,3,2019-03-05,10:40:00,Ewallet,5.1,0.33,2019,3,5
23,WALM083,"Farmers Branch","Home and lifestyle",33.2,2,2019-03-15,12:20:00,"Credit card",4.4,0.33,2019,3,15
24,WALM067,"Haltom City","Electronic accessories",34.56,5,2019-02-17,11:15:00,Ewallet,9.9,0.33,2019,2,17
25,WALM023,Midland,"Sports and travel",88.63,3,2019-03-02,17:36:00,Ewallet,6,0.48,2019,3,2
26,WALM001,Houston,"Home and lifestyle",52.59,8,2019-03-22,19:20:00,"Credit card",8.5,0.36,2019,3,22
27,WALM072,Lancaster,"Fashion accessories",33.52,1,2019-02-08,15:31:00,Cash,6.7,0.33,2019,2,8
28,WALM046,Temple,"Fashion accessories",87.67,2,2019-03-10,12:17:00,"Credit card",7.7,0.48,2019,3,10
29,WALM012,Garland,"Food and beverages",88.36,5,2019-01-25,19:48:00,Cash,9.6,0.48,2019,1,25
30,WALM075,"San Marcos","Health and beauty",24.89,9,2019-03-15,15:36:00,Cash,7.4,0.33,2019,3,15
31,WALM076,Huntsville,"Fashion accessories",94.13,5,2019-02-25,19:39:00,"Credit card",4.8,0.33,2019,2,25
32,WALM098,"Mineral Wells","Sports and travel",78.07,9,2019-01-28,12:43:00,Cash,4.5,0.18,2019,1,28
33,WALM021,McAllen,"Sports and travel",83.78,8,2019-01-10,14:49:00,Cash,5.1,0.48,2019,1,10
34,WALM096,"Eagle Pass","Health and beauty",96.58,2,2019-03-15,10:12:00,"Credit card",5.1,0.18,2019,3,15
35,WALM022,Mesquite,"Food and beverages",99.42,4,2019-02-06,10:42:00,Ewallet,7.5,0.48,2019,2,6
36,WALM095,"Big Spring","Sports and travel",68.12,1,2019-01-07,12:28:00,Ewallet,6.8,0.33,2019,1,7
37,WALM041,Mission,"Sports and travel",62.62,5,2019-03-10,19:15:00,Ewallet,7,0.48,2019,3,10
38,WALM070,Hurst,"Electronic accessories",60.88,9,2019-01-15,17:17:00,Ewallet,4.7,0.33,2019,1,15
39,WALM070,Hurst,"Health and beauty",54.92,8,2019-03-23,13:24:00,Ewallet,7.6,0.33,2019,3,23
40,WALM030,Richardson,"Home and lifestyle",30.12,8,2019-03-03,13:01:00,Cash,7.7,0.48,2019,3,3
41,WALM033,Pearland,"Home and lifestyle",86.72,1,2019-01-17,18:45:00,Ewallet,7.9,0.48,2019,1,17
42,WALM088,Cleburne,"Home and lifestyle",56.11,2,2019-02-02,10:11:00,Cash,6.3,0.33,2019,2,2
43,WALM079,"La Porte","Sports and travel",69.12,6,2019-02-08,13:03:00,Cash,5.6,0.33,2019,2,8
44,WALM042,Bryan,"Food and beverages",98.7,8,2019-03-04,20:39:00,Cash,7.6,0.48,2019,3,4
45,WALM036,Allen,"Health and beauty",15.37,2,2019-03-16,19:47:00,Cash,7.2,0.48,2019,3,16
46,WALM056,Rowlett,"Electronic accessories",93.96,4,2019-03-09,18:00:00,Cash,9.5,0.33,2019,3,9
47,WALM058,"Port Arthur","Health and beauty",56.69,9,2019-02-27,17:24:00,"Credit card",8.4,0.33,2019,2,27
48,WALM015,"Grand Prairie","Food and beverages",20.01,9,2019-02-06,15:47:00,Ewallet,4.1,0.48,2019,2,6
49,WALM063,Georgetown,"Electronic accessories",18.93,6,2019-02-10,12:45:00,"Credit card",8.1,0.33,2019,2,10
50,WALM021,McAllen,"Fashion accessories",82.63,10,2019-03-19,17:08:00,Ewallet,7.9,0.48,2019,3,19
51,WALM089,Southlake,"Food and beverages",91.4,7,2019-02-03,10:19:00,Cash,9.5,0.33,2019,2,3
52,WALM093,Angleton,"Food and beverages",44.59,5,2019-02-10,15:10:00,Cash,8.5,0.33,2019,2,10
53,WALM041,Mission,"Fashion accessories",17.87,4,2019-03-22,14:42:00,Ewallet,6.5,0.48,2019,3,22
54,WALM045,"Missouri City","Fashion accessories",15.43,1,2019-01-25,15:46:00,"Credit card",6.1,0.48,2019,1,25
55,WALM005,"Fort Worth","Home and lifestyle",16.16,2,2019-03-07,11:49:00,Ewallet,6.5,0.48,2019,3,7
56,WALM042,Bryan,"Electronic accessories",85.98,8,2019-02-28,19:01:00,Cash,8.2,0.48,2019,2,28
57,WALM003,"San Antonio","Home and lifestyle",44.34,2,2019-03-27,11:26:00,Cash,5.8,0.36,2019,3,27
58,WALM070,Hurst,"Health and beauty",89.6,8,2019-02-07,11:28:00,Ewallet,6.6,0.33,2019,2,7
59,WALM066,Grapevine,"Home and lifestyle",72.35,10,2019-01-20,15:55:00,Cash,5.4,0.33,2019,1,20
60,WALM031,Lewisville,"Electronic accessories",30.61,6,2019-03-12,20:36:00,Cash,9.3,0.48,2019,3,12
61,WALM042,Bryan,"Sports and travel",24.74,3,2019-02-15,17:47:00,"Credit card",10,0.48,2019,2,15
62,WALM078,"Del Rio","Home and lifestyle",55.73,6,2019-02-24,10:55:00,Ewallet,7,0.33,2019,2,24
63,WALM037,"League City","Sports and travel",55.07,9,2019-02-03,13:40:00,Ewallet,10,0.48,2019,2,3
64,WALM069,Rockwall,"Sports and travel",15.81,10,2019-03-06,12:27:00,"Credit card",8.6,0.33,2019,3,6
65,WALM087,Waxahachie,"Health and beauty",75.74,4,2019-02-14,14:35:00,Cash,7.6,0.33,2019,2,14
66,WALM042,Bryan,"Health and beauty",15.87,10,2019-03-13,16:40:00,Cash,5.8,0.48,2019,3,13
67,WALM020,Killeen,"Health and beauty",33.47,2,2019-02-10,15:43:00,Ewallet,6.7,0.48,2019,2,10
68,WALM029,"Round Rock","Fashion accessories",97.61,6,2019-01-07,15:01:00,Ewallet,9.9,0.48,2019,1,7
69,WALM079,"La Porte","Sports and travel",78.77,10,2019-01-24,10:04:00,Cash,6.4,0.33,2019,1,24
70,WALM035,"San Angelo","Health and beauty",18.33,1,2019-02-02,18:50:00,Cash,4.3,0.48,2019,2,2
71,WALM007,Arlington,"Food and beverages",89.48,10,2019-01-06,12:46:00,"Credit card",9.6,0.48,2019,1,6
72,WALM017,McKinney,"Fashion accessories",62.12,10,2019-02-11,16:19:00,Cash,5.9,0.48,2019,2,11
73,WALM096,"Eagle Pass","Food and beverages",48.52,3,2019-03-05,18:17:00,Ewallet,4,0.18,2019,3,5
74,WALM083,"Farmers Branch","Electronic accessories",75.91,6,2019-03-09,18:21:00,Cash,8.7,0.33,2019,3,9
75,WALM072,Lancaster,"Home and lifestyle",74.67,9,2019-01-22,10:55:00,Ewallet,9.4,0.33,2019,1,22
76,WALM003,"San Antonio","Electronic accessories",41.65,10,2019-01-13,17:04:00,"Credit card",5.4,0.48,2019,1,13
77,WALM058,"Port Arthur","Fashion accessories",49.04,9,2019-01-09,14:20:00,"Credit card",8.6,0.33,2019,1,9
78,WALM094,Alamo,"Fashion accessories",20.01,9,2019-01-12,15:48:00,"Credit card",5.7,0.33,2019,1,12
79,WALM063,Georgetown,"Food and beverages",78.31,10,2019-03-05,16:24:00,Ewallet,6.6,0.33,2019,3,5
80,WALM071,Lufkin,"Health and beauty",20.38,5,2019-01-22,18:56:00,Cash,6,0.33,2019,1,22
81,WALM061,"Cedar Park","Health and beauty",99.19,6,2019-01-21,14:42:00,"Credit card",5.5,0.33,2019,1,21
82,WALM090,Brownwood,"Food and beverages",96.68,3,2019-01-26,19:56:00,Ewallet,6.4,0.33,2019,1,26
83,WALM061,"Cedar Park","Food and beverages",19.25,8,2019-01-23,18:37:00,Ewallet,6.6,0.33,2019,1,23
84,WALM041,Mission,"Food and beverages",80.36,4,2019-02-23,18:45:00,Ewallet,8.3,0.48,2019,2,23
85,WALM097,Alice,"Sports and travel",48.91,5,2019-03-09,10:17:00,Cash,6.6,0.18,2019,3,9
86,WALM043,Baytown,"Sports and travel",83.06,7,2019-03-05,14:31:00,Ewallet,4,0.48,2019,3,5
87,WALM042,Bryan,"Fashion accessories",76.52,5,2019-03-25,10:23:00,Cash,9.9,0.48,2019,3,25
88,WALM046,Temple,"Food and beverages",49.38,7,2019-03-27,20:35:00,"Credit card",7.3,0.48,2019,3,27
89,WALM011,Lubbock,"Sports and travel",42.47,1,2019-01-02,16:57:00,Cash,5.7,0.48,2019,1,2
90,WALM064,Bedford,"Health and beauty",76.99,6,2019-02-27,17:55:00,Cash,6.1,0.33,2019,2,27
91,WALM095,"Big Spring","Home and lifestyle",47.38,4,2019-01-23,10:25:00,Cash,7.1,0.33,2019,1,23
92,WALM049,"North Richland Hills","Sports and travel",44.86,10,2019-01-26,19:54:00,Ewallet,8.2,0.48,2019,1,26
93,WALM040,Edinburg,"Sports and travel",21.98,7,2019-01-10,16:42:00,Ewallet,5.1,0.48,2019,1,10
94,WALM065,"Texas City","Health and beauty",64.36,9,2019-03-12,12:09:00,"Credit card",8.6,0.33,2019,3,12
95,WALM075,"San Marcos","Health and beauty",89.75,1,2019-02-06,20:05:00,"Credit card",6.6,0.33,2019,2,6
96,WALM034,"College Station","Electronic accessories",97.16,1,2019-03-08,20:38:00,Ewallet,7.2,0.48,2019,3,8
97,WALM014,Amarillo,"Health and beauty",87.87,10,2019-03-29,10:25:00,Ewallet,5.1,0.48,2019,3,29
98,WALM096,"Eagle Pass","Electronic accessories",12.45,6,2019-02-09,13:11:00,Cash,4.1,0.18,2019,2,9
99,WALM004,Austin,"Food and beverages",52.75,3,2019-03-23,10:16:00,Ewallet,9.3,0.48,2019,3,23
100,WALM011,Lubbock,"Home and lifestyle",82.7,6,2019-03-05,18:14:00,Cash,7.4,0.48,2019,3,5
101,WALM075,"San Marcos","Fashion accessories",48.71,1,2019-03-26,19:20:00,Cash,4.1,0.33,2019,3,26
102,WALM057,Euless,"Fashion accessories",78.55,9,2019-03-01,13:22:00,Cash,7.2,0.33,2019,3,1
103,WALM023,Midland,"Electronic accessories",23.07,9,2019-02-01,11:27:00,Cash,4.9,0.48,2019,2,1
104,WALM012,Garland,"Food and beverages",58.26,6,2019-03-28,16:44:00,Cash,9.9,0.48,2019,3,28
105,WALM078,"Del Rio","Health and beauty",30.35,7,2019-03-19,18:19:00,Cash,8,0.33,2019,3,19
106,WALM055,Waxahachie,"Electronic accessories",88.67,10,2019-01-12,14:50:00,Ewallet,7.3,0.33,2019,1,12
107,WALM038,"Sugar Land","Fashion accessories",27.38,6,2019-01-05,20:54:00,"Credit card",7.9,0.48,2019,1,5
108,WALM049,"North Richland Hills","Sports and travel",62.13,6,2019-03-22,20:19:00,Cash,7.4,0.48,2019,3,22
109,WALM044,Pharr,"Food and beverages",33.98,9,2019-03-24,10:43:00,Cash,4.2,0.48,2019,3,24
110,WALM056,Rowlett,"Electronic accessories",81.97,10,2019-03-03,14:30:00,Cash,9.2,0.33,2019,3,3
111,WALM007,Arlington,"Sports and travel",16.49,2,2019-02-05,11:32:00,Ewallet,4.6,0.48,2019,2,5
112,WALM025,Waco,"Health and beauty",98.21,3,2019-02-05,10:41:00,"Credit card",7.8,0.48,2019,2,5
113,WALM005,"Fort Worth","Fashion accessories",72.84,7,2019-02-15,12:44:00,Cash,8.4,0.48,2019,2,15
114,WALM024,Carrollton,"Home and lifestyle",58.07,9,2019-01-19,20:07:00,Ewallet,4.3,0.48,2019,1,19
115,WALM003,"San Antonio","Home and lifestyle",80.79,9,2019-02-01,20:31:00,"Credit card",9.5,0.36,2019,2,1
116,WALM087,Waxahachie,"Fashion accessories",27.02,3,2019-03-02,13:01:00,"Credit card",7.1,0.33,2019,3,2
117,WALM040,Edinburg,"Fashion accessories",21.94,5,2019-03-05,12:29:00,Ewallet,5.3,0.48,2019,3,5
118,WALM071,Lufkin,"Fashion accessories",51.36,1,2019-01-16,15:26:00,Ewallet,5.2,0.33,2019,1,16
119,WALM027,Abilene,"Food and beverages",10.96,10,2019-02-02,20:48:00,Ewallet,6,0.48,2019,2,2
120,WALM071,Lufkin,"Home and lifestyle",53.44,2,2019-01-20,20:38:00,Ewallet,4.1,0.33,2019,1,20
121,WALM014,Amarillo,"Electronic accessories",99.56,8,2019-02-14,17:03:00,"Credit card",5.2,0.48,2019,2,14
122,WALM069,Rockwall,"Sports and travel",57.12,7,2019-01-12,12:02:00,"Credit card",6.5,0.33,2019,1,12
123,WALM085,Kerrville,"Sports and travel",99.96,9,2019-03-09,17:26:00,"Credit card",4.2,0.33,2019,3,9
124,WALM061,"Cedar Park","Home and lifestyle",63.91,8,2019-03-13,19:52:00,"Credit card",4.6,0.33,2019,3,13
125,WALM088,Cleburne,"Fashion accessories",56.47,8,2019-03-09,14:57:00,Ewallet,7.3,0.33,2019,3,9
126,WALM034,"College Station","Home and lifestyle",93.69,7,2019-03-10,18:44:00,"Credit card",4.5,0.48,2019,3,10
127,WALM016,Brownsville,"Sports and travel",32.25,5,2019-01-27,13:26:00,Cash,9,0.48,2019,1,27
128,WALM044,Pharr,"Fashion accessories",31.73,9,2019-01-08,16:17:00,"Credit card",5.9,0.48,2019,1,8
129,WALM035,"San Angelo","Food and beverages",68.54,8,2019-01-08,15:57:00,Ewallet,8.5,0.48,2019,1,8
130,WALM018,Frisco,"Sports and travel",90.28,9,2019-02-08,11:15:00,Ewallet,7.2,0.48,2019,2,8
131,WALM022,Mesquite,"Fashion accessories",39.62,7,2019-01-25,13:18:00,Cash,7.5,0.48,2019,1,25
132,WALM068,Burleson,"Sports and travel",92.13,6,2019-03-06,20:34:00,Cash,8.3,0.33,2019,3,6
133,WALM055,Waxahachie,"Sports and travel",34.84,4,2019-02-10,18:36:00,Cash,7.4,0.33,2019,2,10
134,WALM002,Dallas,"Electronic accessories",87.45,6,2019-02-17,14:40:00,"Credit card",8.8,0.36,2019,2,17
135,WALM062,Galveston,"Health and beauty",81.3,6,2019-03-08,16:43:00,Ewallet,5.3,0.33,2019,3,8
136,WALM098,"Mineral Wells","Fashion accessories",90.22,3,2019-02-18,19:39:00,Cash,6.2,0.18,2019,2,18
137,WALM027,Abilene,"Electronic accessories",26.31,5,2019-01-18,20:59:00,"Credit card",8.8,0.48,2019,1,18
138,WALM093,Angleton,"Home and lifestyle",34.42,6,2019-02-18,15:39:00,Cash,9.8,0.33,2019,2,18
139,WALM029,"Round Rock","Sports and travel",51.91,10,2019-02-16,12:21:00,Cash,8.2,0.48,2019,2,16
140,WALM016,Brownsville,"Sports and travel",72.5,8,2019-03-16,19:25:00,Ewallet,9.2,0.48,2019,3,16
141,WALM023,Midland,"Sports and travel",89.8,10,2019-01-23,13:00:00,"Credit card",5.4,0.48,2019,1,23
142,WALM012,Garland,"Health and beauty",90.5,10,2019-01-25,13:48:00,Cash,8.1,0.48,2019,1,25
143,WALM052,Mansfield,"Health and beauty",68.6,10,2019-02-05,19:57:00,Cash,9.1,0.57,2019,2,5
144,WALM097,Alice,"Food and beverages",30.41,1,2019-02-22,10:36:00,"Credit card",8.4,0.18,2019,2,22
145,WALM045,"Missouri City","Home and lifestyle",77.95,6,2019-01-21,16:37:00,"Credit card",8,0.48,2019,1,21
146,WALM047,"Flower Mound","Health and beauty",46.26,6,2019-03-08,17:11:00,"Credit card",9.5,0.48,2019,3,8
147,WALM026,Denton,"Fashion accessories",30.14,10,2019-02-10,12:28:00,Ewallet,9.2,0.48,2019,2,10
148,WALM054,Sherman,"Health and beauty",66.14,4,2019-03-19,12:46:00,"Credit card",5.6,0.21,2019,3,19
149,WALM049,"North Richland Hills","Home and lifestyle",71.86,8,2019-03-06,15:07:00,"Credit card",6.2,0.48,2019,3,6
150,WALM065,"Texas City","Health and beauty",32.46,8,2019-03-27,13:48:00,"Credit card",4.9,0.33,2019,3,27
151,WALM016,Brownsville,"Fashion accessories",91.54,4,2019-03-23,19:20:00,"Credit card",4.8,0.48,2019,3,23
152,WALM070,Hurst,"Sports and travel",34.56,7,2019-03-11,16:07:00,"Credit card",7.3,0.33,2019,3,11
153,WALM099,Weatherford,"Fashion accessories",83.24,9,2019-01-29,11:56:00,"Credit card",7.4,0.18,2019,1,29
154,WALM071,Lufkin,"Food and beverages",16.48,6,2019-02-07,18:23:00,Ewallet,9.9,0.33,2019,2,7
155,WALM078,"Del Rio","Sports and travel",80.97,8,2019-01-28,13:05:00,Cash,9.3,0.33,2019,1,28
156,WALM074,Weslaco,"Food and beverages",92.29,5,2019-02-20,15:55:00,Cash,9,0.33,2019,2,20
157,WALM042,Bryan,"Electronic accessories",72.17,1,2019-01-04,19:40:00,Cash,6.1,0.48,2019,1,4
158,WALM013,Irving,"Home and lifestyle",50.28,5,2019-03-07,13:58:00,Ewallet,9.7,0.48,2019,3,7
159,WALM100,Canyon,"Health and beauty",97.22,9,2019-03-30,14:43:00,Ewallet,6,0.18,2019,3,30
160,WALM094,Alamo,"Sports and travel",93.39,6,2019-03-27,19:18:00,Ewallet,10,0.33,2019,3,27
161,WALM028,Odessa,"Food and beverages",43.18,8,2019-01-19,19:39:00,"Credit card",8.3,0.48,2019,1,19
162,WALM019,Pasadena,"Sports and travel",63.69,1,2019-02-25,16:21:00,Cash,6,0.48,2019,2,25
163,WALM011,Lubbock,"Food and beverages",45.79,7,2019-03-13,19:44:00,"Credit card",7,0.48,2019,3,13
164,WALM084,Schertz,"Sports and travel",76.4,2,2019-01-30,19:42:00,Ewallet,6.5,0.33,2019,1,30
165,WALM057,Euless,"Food and beverages",39.9,10,2019-02-20,15:24:00,"Credit card",5.9,0.33,2019,2,20
166,WALM088,Cleburne,"Health and beauty",42.57,8,2019-02-25,14:12:00,Ewallet,5.6,0.33,2019,2,25
167,WALM061,"Cedar Park","Home and lifestyle",95.58,10,2019-01-16,13:32:00,Cash,4.8,0.33,2019,1,16
168,WALM040,Edinburg,"Fashion accessories",98.98,10,2019-02-08,16:20:00,"Credit card",8.7,0.48,2019,2,8
169,WALM069,Rockwall,"Food and beverages",51.28,6,2019-01-19,16:31:00,Cash,6.5,0.33,2019,1,19
170,WALM089,Southlake,"Sports and travel",69.52,7,2019-02-01,15:10:00,"Credit card",8.5,0.33,2019,2,1
171,WALM031,Lewisville,"Health and beauty",70.01,5,2019-01-03,11:36:00,Ewallet,5.5,0.48,2019,1,3
172,WALM039,Longview,"Food and beverages",80.05,5,2019-01-26,12:45:00,"Credit card",9.4,0.48,2019,1,26
173,WALM039,Longview,"Electronic accessories",20.85,8,2019-03-03,19:17:00,Cash,6.3,0.48,2019,3,3
174,WALM047,"Flower Mound","Electronic accessories",52.89,6,2019-01-19,17:34:00,"Credit card",9.8,0.48,2019,1,19
175,WALM071,Lufkin,"Food and beverages",19.79,8,2019-01-18,12:04:00,Ewallet,8.7,0.33,2019,1,18
176,WALM060,DeSoto,"Home and lifestyle",33.84,9,2019-03-21,16:21:00,Ewallet,8.8,0.33,2019,3,21
177,WALM073,Seguin,"Food and beverages",22.17,8,2019-03-03,17:01:00,"Credit card",9.6,0.33,2019,3,3
178,WALM059,Pflugerville,"Fashion accessories",22.51,7,2019-02-13,10:50:00,"Credit card",4.8,0.33,2019,2,13
179,WALM012,Garland,"Food and beverages",73.88,6,2019-03-23,19:16:00,Ewallet,4.4,0.48,2019,3,23
180,WALM086,Rosenberg,"Health and beauty",86.8,3,2019-01-28,16:47:00,Ewallet,9.9,0.33,2019,1,28
181,WALM073,Seguin,"Fashion accessories",64.26,7,2019-02-09,10:00:00,Cash,5.7,0.33,2019,2,9
182,WALM028,Odessa,"Food and beverages",38.47,8,2019-01-23,11:51:00,Cash,7.7,0.48,2019,1,23
183,WALM053,Conroe,"Sports and travel",15.5,10,2019-03-23,10:55:00,Ewallet,8,0.57,2019,3,23
184,WALM024,Carrollton,"Health and beauty",34.31,8,2019-01-25,15:00:00,Ewallet,5.7,0.48,2019,1,25
185,WALM097,Alice,"Sports and travel",12.34,7,2019-03-04,11:19:00,"Credit card",6.7,0.18,2019,3,4
186,WALM072,Lancaster,"Food and beverages",18.08,3,2019-03-05,19:46:00,Ewallet,8,0.33,2019,3,5
187,WALM023,Midland,"Home and lifestyle",94.49,8,2019-03-03,19:00:00,Ewallet,7.5,0.48,2019,3,3
188,WALM038,"Sugar Land","Home and lifestyle",46.47,4,2019-02-08,10:53:00,Cash,7,0.48,2019,2,8
189,WALM078,"Del Rio","Home and lifestyle",74.07,1,2019-02-10,12:50:00,Ewallet,9.9,0.33,2019,2,10
190,WALM084,Schertz,"Home and lifestyle",69.81,4,2019-01-28,20:50:00,"Credit card",5.9,0.33,2019,1,28
191,WALM059,Pflugerville,"Home and lifestyle",77.04,3,2019-02-11,10:39:00,"Credit card",7.2,0.33,2019,2,11
192,WALM062,Galveston,"Fashion accessories",73.52,2,2019-01-15,13:41:00,Ewallet,4.6,0.33,2019,1,15
193,WALM090,Brownwood,"Food and beverages",87.8,9,2019-03-16,19:08:00,Cash,9.2,0.33,2019,3,16
194,WALM015,"Grand Prairie","Home and lifestyle",25.55,4,2019-01-26,20:23:00,Ewallet,5.7,0.48,2019,1,26
195,WALM003,"San Antonio","Electronic accessories",32.71,5,2019-03-19,11:30:00,"Credit card",9.9,0.48,2019,3,19
196,WALM066,Grapevine,"Fashion accessories",74.29,1,2019-01-13,19:30:00,Cash,5,0.33,2019,1,13
197,WALM079,"La Porte","Health and beauty",43.7,2,2019-03-26,18:03:00,Cash,4.9,0.33,2019,3,26
198,WALM002,Dallas,"Home and lifestyle",25.29,1,2019-03-23,10:13:00,Ewallet,6.1,0.36,2019,3,23
199,WALM094,Alamo,"Health and beauty",41.5,4,2019-03-12,19:58:00,"Credit card",8.2,0.33,2019,3,12
200,WALM047,"Flower Mound","Food and beverages",71.39,5,2019-02-17,19:57:00,"Credit card",5.5,0.48,2019,2,17
201,WALM100,Canyon,"Sports and travel",19.15,6,2019-01-29,10:01:00,"Credit card",6.8,0.18,2019,1,29
202,WALM005,"Fort Worth","Electronic accessories",57.49,4,2019-03-15,11:57:00,Cash,6.6,0.48,2019,3,15
203,WALM086,Rosenberg,"Electronic accessories",61.41,7,2019-01-14,10:02:00,Cash,9.8,0.33,2019,1,14
204,WALM029,"Round Rock","Health and beauty",25.9,10,2019-02-06,14:51:00,Ewallet,8.7,0.48,2019,2,6
205,WALM065,"Texas City","Home and lifestyle",17.77,5,2019-02-15,12:42:00,"Credit card",5.4,0.33,2019,2,15
206,WALM085,Kerrville,"Health and beauty",23.03,9,2019-01-03,12:02:00,Ewallet,7.9,0.33,2019,1,3
207,WALM034,"College Station","Electronic accessories",66.65,9,2019-01-04,18:19:00,"Credit card",9.7,0.48,2019,1,4
208,WALM055,Waxahachie,"Home and lifestyle",28.53,10,2019-03-18,17:38:00,Ewallet,7.8,0.33,2019,3,18
209,WALM043,Baytown,"Fashion accessories",30.37,3,2019-03-28,13:41:00,Ewallet,5.1,0.48,2019,3,28
210,WALM003,"San Antonio","Electronic accessories",99.73,9,2019-03-02,19:42:00,"Credit card",6.5,0.48,2019,3,2
211,WALM050,Victoria,"Electronic accessories",26.23,9,2019-01-25,20:24:00,Ewallet,5.9,0.48,2019,1,25
212,WALM057,Euless,"Food and beverages",93.26,9,2019-01-16,18:08:00,Cash,8.8,0.33,2019,1,16
213,WALM088,Cleburne,"Home and lifestyle",92.36,5,2019-03-20,19:17:00,Ewallet,4.9,0.33,2019,3,20
214,WALM093,Angleton,"Sports and travel",46.42,3,2019-01-04,13:24:00,"Credit card",4.4,0.33,2019,1,4
215,WALM065,"Texas City","Sports and travel",29.61,7,2019-03-11,15:53:00,Cash,6.5,0.33,2019,3,11
216,WALM072,Lancaster,"Home and lifestyle",18.28,1,2019-03-22,15:05:00,"Credit card",8.3,0.33,2019,3,22
217,WALM038,"Sugar Land","Sports and travel",24.77,5,2019-03-24,18:27:00,Cash,8.5,0.48,2019,3,24
218,WALM081,Friendswood,"Electronic accessories",94.64,3,2019-02-21,16:55:00,Cash,5.5,0.33,2019,2,21
219,WALM043,Baytown,"Fashion accessories",94.87,8,2019-02-12,12:58:00,Ewallet,8.7,0.48,2019,2,12
220,WALM044,Pharr,"Food and beverages",57.34,3,2019-03-10,18:59:00,"Credit card",7.9,0.48,2019,3,10
221,WALM002,Dallas,"Electronic accessories",45.35,6,2019-01-31,13:44:00,Ewallet,6.1,0.36,2019,1,31
222,WALM056,Rowlett,"Food and beverages",62.08,7,2019-03-06,13:46:00,Ewallet,5.4,0.33,2019,3,6
223,WALM020,Killeen,"Electronic accessories",11.81,5,2019-02-17,18:06:00,Cash,9.4,0.48,2019,2,17
224,WALM026,Denton,"Fashion accessories",12.54,1,2019-02-21,12:38:00,Cash,8.2,0.48,2019,2,21
225,WALM003,"San Antonio","Food and beverages",43.25,2,2019-03-20,15:56:00,Cash,6.2,0.48,2019,3,20
226,WALM067,"Haltom City","Sports and travel",87.16,2,2019-01-11,14:29:00,"Credit card",9.7,0.33,2019,1,11
227,WALM059,Pflugerville,"Health and beauty",69.37,9,2019-01-26,19:14:00,Ewallet,4,0.33,2019,1,26
228,WALM068,Burleson,"Electronic accessories",37.06,4,2019-01-31,16:24:00,Ewallet,9.7,0.33,2019,1,31
229,WALM049,"North Richland Hills","Electronic accessories",90.7,6,2019-02-26,10:52:00,Cash,5.3,0.48,2019,2,26
230,WALM087,Waxahachie,"Home and lifestyle",63.42,8,2019-03-11,12:55:00,Ewallet,7.4,0.33,2019,3,11
